노선,명칭,위치-이정,방향,주차면-소형,주차면-대형,화장실,휴게소명,휴게소와 거리(km)
중앙선,안평,166.8,춘천,7,,,군위휴게소,13.1 
중앙선,명곡,136.8,부산,7,,,동명휴게소,13.7 
중앙선,명곡,136.8,춘천,7,,,동명휴게소,13.7 
중앙선,대동,8.5,춘천,5,,,대구부산선 청도휴게소,46.0 
호남선,익산,177.8,천안,7,,,여산휴게소,12.6 
호남선,삼례,172.1,순천,8,,,이서휴게소,10.9 
호남선,삼례,174.4,천안,8,,○,이서휴게소,13.2 
호남선,전주,168.4,순천,8,,,이서휴게소,7.2 
호남선,전주,168.4,천안,7,,○,이서휴게소,7.2 
호남선,서전주,162.1,천안,6,1,,이서휴게소,1.0 
호남선,태인,142.1,천안,10,,,정읍휴게소,9.4 
호남선,정우,137.8,순천,9,2,○,정읍휴게소,5.1 
호남선,정우,137.8,천안,10,5,○,정읍휴게소,5.1 
호남선,내장산,123.6,천안,8,,,정읍휴게소,9.1 
호남선,내장산,118.9,순천,7,,,정읍휴게소,13.8 
호남선,장성,97.2,순천,20,,○,백양사휴게소,3.9 
호남선,장성,97.4,천안,15,,,백양사휴게소,3.7 
호남선,대덕,61.5,순천,8,,○,곡성휴게소,12.4 
호남선,주암,20.3,천안,12,,,주암휴게소,2.7 
호남지선,논산,9.8,회덕,8,,○,벌곡휴게소,13.2 
호남지선,논산,11.2,논산,10,,,벌곡휴게소,12.6 
호남지선,서대전,37.1,논산,8,,,벌곡휴게소,13.3 
호남지선,유성,44.8,회덕,7,,,벌곡휴게소,21.8 
호남지선,북대전,49.1,논산,13,,○,벌곡휴게소,25.3 
평택제천,중앙탑,93,평택,11,3,○,천등산휴게소,16.6 
평택제천,중앙탑,93,제천,11,3,○,천등산휴게소,11.8 
평택제천,금성,124.6,평택,7,5,○,천등산휴게소,15.5 
평택제천,금성,124.6,제천,7,5,○,천등산휴게소,20.0 
청주상주선,회인,16.6,청주,7,,,속리산휴게소,26.7 
청주상주선,탄부,34.2,청주,7,,,속리산휴게소,9.1 
청주상주선,탄부,34.1,상주,7,,○,화서휴게소,14.1 
청주상주선,상주,59.7,청주,7,,○,속리산휴게소,16.4 
청주상주선,상주,62.8,상주,7,,,화서휴게소,14.6 
익산장수선,완주,2,익산,7,,,진안마이산휴게소,39.5 
익산장수선,완주,2,장수,7,,,진안마이산휴게소,39.5 
대구포항선,화산,25.5,포항,20,,,와촌휴게소,13.1 
대구포항선,기계,51.2,대구,7,,,영천휴게소,10.4 
남해선(영암순천),벌교,87.8,영암,5,2,○,보성녹차휴게소,24.8 
남해선(영암순천),강진,25.3,순천,6,2,,보성녹차휴게소,42.8 
남해선(영암순천),강진,23.4,영암,5,2,,보성녹차휴게소,39.6 
남해선,광양,10.8,순천,12,,○,섬진강휴게소,20.3 
남해선,광양,10.8,부산,12,,,섬진강휴게소,20.3 
남해선,진교,44.5,순천,9,3,,사천휴게소,12.1 
남해선,곤양,49.8,순천,7,2,○,사천휴게소,6.8 
남해선,곤양,49.8,부산,2,8,○,사천휴게소,6.8 
남해선,지수,85.8,순천,13,3,○,문산휴게소,10.5 
남해선,지수,87,부산,16,3,○,함안휴게소,13.0 
남해선,북창원,126,부산,5,1,○,진영휴게소,9.4 
남해선,진례,144.7,부산,5,,,진영휴게소,9.3 
남해선,진례,144.7,순천,6,,,진영휴게소,9.3 
남해1지선,창원,15.3,산인,12,,○,진영휴게소,10.0 
남해1지선,창원,15.3,창원,12,,○,진영휴게소,10.0 
울산선,울산,4.6,언양,8,1,○,없음,
울산선,울산,4,울산,7,3,○,없음,
88선,담양,4.1,대구,2,5,,남원휴게소,36.0 
고창담양,태령,32.4,고창,4,,,없음,
고창담양,태령,32.4,담양,7,,,없음,
서울양양,북방,70.4,서울,5,,,가평휴게소,31.4 
서울외곽순환선,성남,5.1,외측,69,9,○,구리휴게소,26.5 
서울외곽순환선,구리남양주,26.9,내측,77,10,○,서하남휴게소,7.9 
서울외곽순환선,김포,76.2,내측,75,8,○,청계휴게소,45.2 
서울외곽순환선,김포,77,외측,25,3,○,,
서울외곽순환선,시흥,95.8,내측,23,3,○,청계휴게소,25.6 
서울외곽순환선,시흥,95.8,외측,7,7,○,양주휴게소,38.2 
서울외곽순환선,청계,121.4,외측,17,2,○,구리휴게소,38.2 
